"128v -- Population projection 2019: Population according to age and sex by area, 2019-2040"

"Area";"Age";"2020 Total Population 31 Dec (projection 2019)";"2020 Males Population 31 Dec (projection 2019)";"2020 Females Population 31 Dec (projection 2019)";"2025 Total Population 31 Dec (projection 2019)";"2025 Males Population 31 Dec (projection 2019)";"2025 Females Population 31 Dec (projection 2019)";"2030 Total Population 31 Dec (projection 2019)";"2030 Males Population 31 Dec (projection 2019)";"2030 Females Population 31 Dec (projection 2019)";"2035 Total Population 31 Dec (projection 2019)";"2035 Males Population 31 Dec (projection 2019)";"2035 Females Population 31 Dec (projection 2019)";"2040 Total Population 31 Dec (projection 2019)";"2040 Males Population 31 Dec (projection 2019)";"2040 Females Population 31 Dec (projection 2019)"
"WHOLE COUNTRY";"Total";5530922;2732995;2797927;5556546;2752594;2803952;5566685;2763297;2803388;5556472;2764088;2792384;5525528;2756428;2769100
"WHOLE COUNTRY";"0";45710;23362;22348;44999;22994;22005;44039;22507;21532;43670;22319;21351;43176;22064;21112
"WHOLE COUNTRY";"1";46123;23569;22554;45557;23286;22271;44540;22766;21774;44077;22531;21546;43729;22353;21376
"WHOLE COUNTRY";"2";48338;25015;23323;46066;23562;22504;45096;23056;22040;44449;22723;21726;44200;22595;21605
"WHOLE COUNTRY";"3";51539;26321;25218;46522;23774;22748;45592;23313;22279;44810;22906;21904;44604;22809;21795
"WHOLE COUNTRY";"4";54368;27608;26760;46909;23985;22924;46067;23546;22521;45222;23124;22098;44901;22951;21950
"WHOLE COUNTRY";"5";56932;29244;27688;47251;24165;23086;46564;23817;22747;45611;23326;22285;45239;23144;22095
"WHOLE COUNTRY";"6";59305;30328;28977;47588;24333;23255;47032;24052;22980;46009;23524;22485;45549;23294;22255
"WHOLE COUNTRY";"7";60339;31004;29335;49744;25721;24023;47451;24255;23196;46490;23774;22716;45829;23422;22407
"WHOLE COUNTRY";"8";61821;31525;30296;52789;26953;25836;47848;24465;23383;46908;23981;22927;46160;23609;22551
